EPIC,Name,RAdeg,DEdeg,Other,Vmag,Ksmag,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per,vsini,bp_rp,bp_g,g_rp
211057696,034419.68+235345.9,56.08201,23.8961,PPL5,0,13.3,6.97,0.3103,0.2452,0,0,0.142,LC2,best,0,0,3.27322197,1.72436142,1.54886055
211114317,034420.08+244746.1,56.08368,24.79615,HII314,10.6,8.95,1.54,1.4729,1.5174,0,0,0.038,LC1,best,1.48,41.9,0.877849579,0.370494843,0.507354736
211112974,034420.50+244622.2,56.08544,24.77285,HII320,11.02,8.87,2.04,1.1868,4.8312,4.4099,0,0.038,LC1,best,4.52,10.8,1.124885559,0.498721123,0.626164436
211080177,034420.64+241510.9,56.08604,24.25303,HHJ57,0,13.1,6.47,0.3489,0.4073,0,0,0.014,LC1,best,0,0,3.196931839,1.614006042,1.582925797
211037018,034420.85+233340.0,56.08691,23.56113,HCG155,0,12.01,4.93,4.4526,0,0,0,0.036,LC2,best,0,7,2.727435112,1.509181976,1.218253136
211112685,034421.90+244606.2,56.09127,24.7684,HII324,12.99,10.06,2.82,0.4114,0,0,0,0.048,LC1,best,0.41,72,1.411889076,0.64512825,0.766760826
211012996,034422.13+231054.9,56.09224,23.18194,DH329,0,13.47,6.79,0.2991,0,0,0,0.024,LC1,best,0,0,3.332582474,1.878616333,1.453966141
211068579,034423.06+240405.8,56.09609,24.0683,HII335,13.77,10.22,3.44,0.3567,0,0,0,0.051,LC1,best,0.36,73,1.750555992,0.841694832,0.90886116
211072441,034423.54+240757.4,56.09811,24.13263,HII338,9.04,7.77,1.16,0.5889,0,0,0,0.003,LC1,best,0,40,0.658248901,0.268847466,0.389401436
211118414,034424.67+245153.4,56.10283,24.86485,HCG148,0,11.94,5.37,0.2177,0.3821,0,0,0.02,LC1,best,0,0,2.98246479,1.701601982,1.280862808
211112686,034424.80+244606.2,56.10337,24.76839,HCG149,15.42,11.01,4.3,0.7643,0,0,0,0.046,LC1,best,3.27,20,2.225701332,1.15337944,1.072321892
211107439,034425.58+244052.8,56.10662,24.68136,HCG150,16.66,11.65,4.9,1.08,0,0,0,0.033,LC1,best,1.08,13,2.729821205,1.509179115,1.22064209
211101761,034426.27+243522.9,56.10948,24.5897,HII345,11.46,9.27,2.08,0.8374,0,0,0,0.019,LC1,best,0.84,18.9,1.084056854,0.469192505,0.614864349
211095218,034426.53+242911.5,56.11055,24.48653,HHJ243,17.94,12.08,5.75,0.347,0,0,0,0.023,LC1,best,0,0,3.089150429,1.75876236,1.330388069
211090224,034426.87+242431.7,56.11198,24.40883,HCG156,16.07,11.45,4.51,5.8799,0,0,0,0.039,LC1,best,5.85,0,2.372159004,1.250590324,1.12156868
211117230,034427.29+245038.2,56.11372,24.84396,HII347,14,10.07,3.82,0.3982,0.3355,0,0,0.027,LC1,best,0.4,78,2.021654129,1.022110939,0.99954319
211079163,034427.49+241417.1,56.11455,24.23811,HHJ190,0,12.66,5.68,0.235,0,0,0,0.02,LC1,best,0,0,2.978214264,1.643766403,1.334447861
211064435,034427.90+235959.8,56.11629,23.99997,DH342,0,13.49,6.21,0.3044,0,0,0,0.02,LC1,best,0,0,2.979434967,1.58980751,1.389627457
211074888,034428.00+241017.5,56.1167,24.17155,HII357,13.32,10.06,3.15,3.8002,0,0,0,0.071,LC3,best,3.79,10,1.675935745,0.792304039,0.883631706
210754915,034428.08+191106.1,56.11701,19.18504,DH343,11.84,9.42,2.31,0.5332,0,0,0,0.049,LC1,best,0.53,0,1.201845169,0.533764839,0.66808033
211038810,034431.71+233526.1,56.13213,23.59061,SK564,0,12.2,5.12,0.9184,0,0,0,0.04,LC1,best,0,0,2.811494827,1.57239151,1.239103317
211056297,034431.97+235230.7,56.13325,23.87521,HII370,14.44,10.45,3.88,17.2827,7.7381,0,0,0.011,LC4,best,0.94,0,,,
211064526,034435.40+240004.8,56.14754,24.00135,HII390,14.33,10.65,3.57,9.0574,0,0,0,0.008,LC4,best,0,0,1.826571465,0.896554947,0.930016518
211033487,034436.27+233011.1,56.15115,23.50309,HCG161,16.55,11.66,4.78,1.6598,0,0,0,0.064,LC1,best,0,13,2.598949432,1.422178268,1.176771164
211091449,034437.76+242538.8,56.15734,24.42746,HHJ46,19.51,13.52,5.88,0.3036,0,0,0,0.016,LC1,best,0,0,2.961494446,1.593906403,1.367588043
210996584,034437.77+225515.7,56.15741,22.92103,HCG164,15.75,11.04,4.6,0.3152,0,0,0,0.022,LC1,best,0.31,0,2.360901833,1.251164436,1.109737396
211004119,034438.94+230225.4,56.16227,23.04041,HHJ189,0,12.5,5.53,0.8297,0,0,0,0.018,LC1,best,0,0,,,
211097941,034439.61+243144.2,56.16505,24.52896,0,0,11.88,4.96,0.6099,0,0,0,0.011,LC1,best,0,0,2.701250076,1.48261261,1.218637466
211115638,034440.75+244906.7,56.1698,24.81854,HII405,9.84,8.52,1.21,1.908,0,0,0,0.015,LC3,best,1.92,18.2,,,
210967650,034441.82+222752.4,56.17425,22.46456,PELS034,10.76,9.07,1.58,3.9912,0,0,0,0.01,LC3,best,0,0,0.918364525,0.38896656,0.529397964
211088648,034446.13+242303.0,56.19223,24.38419,HHJ24,0,13.79,6.09,0.2858,0,0,0,0.013,LC1,best,0,0,2.664548874,1.254331589,1.410217285
211065077,034447.32+240037.8,56.19718,24.01052,HHJ276,0,12.32,5.11,0.7563,0,0,0,0.024,LC1,best,0,0,2.698223114,1.45508194,1.243141174
211077649,034447.83+241252.7,56.19933,24.21466,HCG166,0,12.45,5.44,0.8136,0,0,0,0.046,LC2,best,0,0,2.762803078,1.474332809,1.288470268
211121141,034450.16+245440.0,56.20904,24.91113,HII451,13.43,10.34,2.98,5.6763,0,0,0,0.031,LC3,best,5.55,5.7,1.564805031,0.743149757,0.821655273
210911601,034452.85+213416.5,56.22024,21.57126,UGCSJ034452.86+213416.0,0,12.42,5.45,0.2494,0.2714,0,0,0.02,LC1,best,0,0,3.184926033,1.862781525,1.322144508
211059325,034453.83+235516.5,56.2243,23.92126,HII476,10.78,8.87,1.12,2.3386,2.4614,0,0,0.023,LC1,best,2.43,21,1.048609734,0.454170227,0.594439507
211092628,034454.09+242646.9,56.22538,24.44637,HHJ183,0,12.75,5.31,0.6325,0,0,0,0.035,LC1,best,0,0,2.682359695,1.39875412,1.283605576
211059981,034455.99+235553.5,56.2333,23.93153,HCG171,0,11.92,5.36,0.3954,0.4936,0,0,0.014,LC1,best,0,0,2.967765808,1.546310425,1.421455383
211091768,034456.39+242557.4,56.23498,24.43262,HII489,10.42,8.87,1.44,2.7793,0,0,0,0.02,LC1,best,2.85,18.3,0.838448524,0.350892067,0.487556458
211039840,034456.68+233623.6,56.23619,23.60658,HHJ269,0,12.33,5.07,0.8002,0,0,0,0.04,LC1,best,0,0,2.817094803,1.565835953,1.25125885
211063935,034457.32+235932.4,56.23887,23.99235,0,0,11.96,4.85,1.78,0,0,0,0.015,LC1,best,0,0,,,
211027607,034458.01+232431.2,56.24174,23.40867,HHJ223,0,12.36,5.4,0.7571,0,0,0,0.084,LC1,best,0,0,2.915783882,1.649787903,1.265995979
211059734,034458.58+235541.0,56.24409,23.92806,HHJ274,0,12.11,5.34,0.4849,0,0,0,0.034,LC1,best,0,0,2.791992188,1.540418625,1.251573563
211026321,034458.96+232320.1,56.24568,23.38894,HII513,13.85,10.48,3.26,5.8883,0,0,0,0.079,LC3,best,5.84,7.4,1.727595329,0.833433151,0.894162178
211024158,034459.47+232118.4,56.2478,23.35512,HHJ54,0,13.38,5.77,0.2388,0,0,0,0.019,LC1,best,0,0,3.217033386,1.87131691,1.345716476
211113286,034501.12+244641.1,56.2547,24.7781,HCG172,0,12.57,5.34,0.5888,0,0,0,0.025,LC1,best,0,0,2.938612938,1.652696609,1.285916328
210779549,034501.66+193333.7,56.25695,19.55937,PELS135,9.45,8.15,1.19,0.9368,0,0,0,0.002,LC1,ok,0,0,0.686344147,0.278596878,0.407747269
211054027,034503.26+235021.9,56.2636,23.83943,HII522,11.97,9.72,2.14,7.0949,8.8112,0,0,0.014,LC3,best,0,4,1.129918098,0.498330116,0.631587982
211080847,034506.53+241548.6,56.27722,24.26352,HII531,8.58,7.72,0.75,0.0431,0.0389,0.0365,0.0464,0.002,LC1,best,0,0,0.476453781,0.189383507,0.287070274
211040347,034506.77+233651.6,56.27825,23.61434,HCG176,0,12.66,6.11,0.3337,0,0,0,0.022,LC1,best,0,0,3.287022591,1.924930573,1.362092018
210978650,034508.67+223830.6,56.28616,22.64185,HHJ204,0,12.48,5.33,0.4623,0,0,0,0.051,LC1,best,0,0,2.977600098,1.698755264,1.278844833
210920066,034509.87+214216.5,56.29115,21.70459,PELS040,9.99,8.59,1.29,2.9317,2.764,0,0,0.014,LC1,best,2.93,11.5,0.751852989,0.312072754,0.439780235
211004687,034510.81+230258.1,56.29506,23.0495,HCG186,0,12.35,5.25,0.9335,0,0,0,0.113,LC1,best,0,0,2.95381546,1.684215546,1.269599915
211101564,034511.98+243510.2,56.29993,24.58617,HII554,13.93,10.56,3.26,4.3894,0,0,0,0.113,LC3,best,4.33,0,1.709386826,0.824576378,0.884810448
211096421,034512.07+243018.3,56.3003,24.5051,0,0,11.9,4.95,0.3473,0,0,0,0.024,LC1,best,0,0,2.631128311,1.406459808,1.224668503
211024798,034512.14+232153.2,56.30062,23.36479,HCG185,17.64,12.24,5.29,0.7494,0,0,0,0.083,LC1,best,2.99,0,2.843196869,1.595935822,1.247261047
210982234,034512.42+224151.1,56.30178,22.69753,BPL71,0,12.27,5.13,0.7676,0,0,0,0.101,LC1,best,0,0,2.848729134,1.607252121,1.241477013
211057685,034512.60+235345.1,56.30254,23.89588,HHJ14,0,13.88,6.55,0.2594,0,0,0,0.016,LC1,best,0,26,2.669033051,1.192214966,1.476818085
211080412,034513.13+241523.7,56.30473,24.2566,NZTau=HCG180,0,13.17,5.51,2.0103,0,0,0,0.017,LC1,best,0,0,2.799593925,1.47662735,1.322966576
211034329,034513.40+233100.9,56.30585,23.51693,OOTau=HCG184,17.72,11.89,5.72,0.3403,0.2279,0,0,0.061,LC1,ok,0,0,3.134485245,1.823829651,1.310655594
211071722,034516.12+240716.2,56.31717,24.12118,HCG183,16.24,11.63,4.5,2.1851,0,0,0,0.021,LC1,best,2.19,0,2.438325882,1.286094666,1.152231216
211037417,034516.41+233401.7,56.3184,23.56716,DH384,0,13.52,6.01,0.1903,0,0,0,0.031,LC1,best,0,0,3.154884338,1.801948547,1.352935791
211100894,034516.64+243432.5,56.31935,24.5757,HCG181,16.18,11.43,4.64,0.8545,0,0,0,0.043,LC1,best,0.86,26,2.517658234,1.351554871,1.166103363
211121734,034520.85+245519.4,56.33691,24.92207,HII605,9,7.84,1.05,7.0681,0,0,0,0.002,LC3,best,0,80,0.628681183,0.255350113,0.37333107
211098921,034521.66+243237.3,56.34029,24.5437,HHJ273,0,12.31,5.23,1.1468,0,0,0,0.046,LC1,best,0,0,2.718921661,1.470064163,1.248857498
211031520,034522.19+232818.2,56.34248,23.47173,HII636,12.4,9.81,2.48,8.4849,6.6064,0,0,0.021,LC3,best,7.5,3.5,1.323207855,0.600420952,0.722786903
211117626,034523.49+245102.8,56.34788,24.8508,HII624,15.28,11.04,4.13,1.2481,0,0,0,0.112,LC2,best,1.25,16,2.230429649,1.155916214,1.074513435
211119678,034524.12+245309.4,56.35053,24.88597,HII627,9.65,8.38,1.16,1.8128,1.7474,0,0,0.007,LC1,best,0,33.2,0.69124794,0.283408165,0.407839775
211086163,034524.77+242045.4,56.35324,24.34596,DH392,0,12.24,5.34,0.941,0,0,0,0.026,LC1,best,0,0,2.645001411,1.387853622,1.257147789
211028956,034525.97+232548.7,56.35824,23.4302,HII659,12.04,9.53,1.69,2.804,2.6719,0,0,0.059,LC3,ok,0,12.2,1.286483765,0.574141502,0.712342262
211066615,034526.13+240206.4,56.3589,24.03513,HII652,8.04,7.46,0.47,0.1212,0.0871,0.042,0,0.002,LC4,best,0,0,0.315566063,0.128526688,0.187039375
210971340,034526.55+223132.2,56.36063,22.52562,HHJ267,17.4,12.25,5.04,1.2096,0,0,0,0.107,LC1,best,1.21,0,2.814166069,1.579174042,1.234992027
211041420,034527.50+233757.1,56.36462,23.63253,HHJ106,0,13.26,5.48,0.2958,0,0,0,0.032,LC1,best,0,0,2.857057571,1.54180336,1.315254211
211084069,034530.21+241845.5,56.37591,24.31265,HII673,15.74,11.13,4.5,2.1929,0,0,0,0.029,LC1,best,2.2,14,2.22492981,1.1356287,1.089301109
211083408,034532.93+241811.6,56.38722,24.30324,HII686,13.52,10.22,3.19,0.3976,0,0,0,0.075,LC3,best,0.4,71,1.606217384,0.756381035,0.849836349
211013191,034533.98+231106.7,56.3916,23.1852,DH396,0,13.01,5.62,0.5883,0,0,0,0.019,LC1,best,0,0,3.165302277,1.843063354,1.322238922
211093705,034534.45+242747.8,56.39355,24.46329,HII697,8.6,7.64,0.85,0.3279,0.315,0.2998,0,0.002,LC1,best,0,0,0.50549221,0.202521324,0.302970886
211069456,034535.39+240459.5,56.39748,24.08321,HII708,10.11,8.6,1.4,1.0199,0.9994,0,0,0.011,LC1,best,0.29,45,0.834806442,0.3515625,0.483243942
211105653,034536.71+243906.7,56.40298,24.65188,HCG194,16.73,11.35,5.27,0.3334,0.3446,0,0,0.028,LC1,best,0.33,0,2.895763397,1.643427849,1.252335548
211061207,034538.98+235701.1,56.41243,23.95031,WBM5,0,13.25,5.74,0.347,0,0,0,0.015,LC1,best,0,0,2.754026413,1.388698578,1.365327835
211072835,034539.28+240820.5,56.41367,24.13904,HHJ130,0,13.06,5.64,0.8158,0,0,0,0.018,LC1,best,0,0,2.862796783,1.52904129,1.333755493
211104176,034540.16+243738.0,56.41737,24.62724,HII727,9.71,8.29,1.31,1.1394,1.1835,0,0,0.021,LC1,best,0.53,45,0.746320724,0.306263924,0.440056801
211082436,034541.38+241718.9,56.42243,24.28859,HII745,9.46,8.04,1.31,0.8383,0,0,0,0.003,LC1,best,0,65,0.729657173,0.29883194,0.430825233
211120842,034542.11+245421.5,56.42548,24.90599,HII739,9.57,7.94,1.52,1.5775,1.7112,0,0,0.015,LC3,best,0.92,14.4,0.830910683,0.34588623,0.485024452
211129400,034542.44+250325.5,56.42687,25.05709,HII740,13.4,10.5,2.79,2.8396,2.6899,0,0,0.041,LC3,best,2.77,14,1.427623749,0.654379845,0.773243904
211068914,034544.07+240426.7,56.43364,24.0741,HII762,14.23,10.64,3.48,3.7965,0,0,0,0.026,LC1,best,3.84,9,1.832273483,0.901003838,0.931269646
210922602,034546.92+214449.3,56.44553,21.74705,HHJ128,0,12.82,5.91,0.1958,0.2172,0,0,0.018,LC1,best,0,0,3.450761795,2.093326569,1.357435226
