Theia,OName,logage,Avmag,string,width,height,length,GLON,GLAT,Par,vl,vb,RV,X,Y,Z,U,V,W,dist_pc
307,0,8.08008,0.784192,0,14.6158,18.7856,0.0,345.44,-3.02251,3.84398,23.0769,6.17935,13.6912,251.442,-65.3074,-13.7171,19.9914,19.954,5.90517,260.1470351042409
308,0,8.04431,0.119338,y,17.7389,6.94627,122.371,234.98,-11.3544,3.81336,-3.45275,-2.32225,2.05641,-147.911,-204.02,-46.365,-0.363731,4.58719,-2.10284,262.235928420081
309,0,8.03905,0.246689,y,38.2969,10.7626,192.763,319.364,-11.2204,3.66343,1.66285,9.95632,6.42957,201.957,-174.591,-51.7402,6.87874,-4.99814,8.81749,272.9682292278002
310,0,8.02499,0.193144,y,23.1024,9.42289,94.0346,94.8506,-10.584,3.53444,-7.78142,-2.64869,0.891879,-27.643,270.419,-52.0414,8.41507,0.103257,-2.96737,282.9302520342685
311,0,8.02736,0.343057,y,81.918,15.1114,337.222,138.233,6.62885,3.42144,-7.17961,-7.48144,-6.22864,-193.51,192.993,32.9865,10.0557,0.945781,-8.44475,292.27459783015337
312,0,8.00219,0.258591,y,17.941,10.4865,129.768,90.2415,-18.8911,3.36196,0.542455,11.3327,1.23302,4.4898,288.642,-97.4691,-1.66183,2.00637,12.2709,297.4455377220431
313,0,8.07111,0.665638,0,7.80806,7.69626,0.0,257.125,-4.59987,2.55457,-24.7325,4.50397,10.7614,-86.945,-380.385,-31.3935,-26.7766,-5.50558,3.6354,391.4553134186967
314,0,8.03717,0.130111,0,8.08799,8.8891,0.0,63.5966,-17.9094,2.51936,-5.1948,-1.59268,1.37794,167.955,338.294,-122.06,5.19824,-1.65679,-2.02163,396.92620348024894
315,0,8.09027,0.137866,0,9.408,15.2741,0.0,60.4588,6.92062,2.29344,10.5306,-0.37425,-1.73751,213.416,376.579,52.5385,-10.3678,3.88192,-0.456351,436.0262313380773
316,0,8.03223,0.349074,y,75.0502,7.60395,603.146,57.9173,-1.87811,2.25677,-10.549,6.85364,-10.4274,272.957,404.089,-33.6068,5.21682,-14.213,6.66248,443.11117216198375
317,0,8.04706,0.405354,0,14.3478,6.3304,0.0,357.29,-20.2082,2.24792,-7.20856,5.75964,17.7926,417.006,-19.7347,-153.668,18.7761,-8.52422,-0.62971,444.85568881454856
318,0,8.01482,0.211807,0,14.3011,10.6329,0.0,229.109,3.29011,2.22975,3.34184,2.34985,4.23139,-293.1,-338.475,25.7391,-0.298363,-5.27614,2.62136,448.4807713869268
319,0,8.0044,0.185422,0,11.4638,12.4753,0.0,226.959,-7.96329,2.17994,-7.44149,-2.17003,1.04689,-310.074,-332.035,-63.5516,-5.96304,4.56211,-2.46932,458.7282218776664
320,NGC_2422,8.02197,0.342764,0,9.37134,7.99287,0.0,230.9,2.96903,2.03944,-8.75838,-4.5863,18.7722,-308.826,-380.008,25.3972,-19.3245,-9.31761,-3.74958,490.33067900992427
321,0,8.06044,0.524116,0,29.2921,14.8787,0.0,135.276,-0.330631,2.03348,12.4531,1.33397,-5.4074,-349.394,346.05,-2.83778,-5.01557,-12.912,1.31772,491.76780691228834
322,0,8.07739,0.130143,0,14.8253,14.4753,0.0,122.124,-11.8079,1.92417,0.371527,1.46823,-6.36507,-270.503,430.825,-106.347,2.89366,-5.3522,2.7683,519.7045999054137
323,0,8.00199,0.498001,0,18.5956,18.572,0.0,304.118,5.74076,1.90852,-16.5525,0.287763,-5.2746,292.42,-431.607,52.4112,-17.2669,-5.18028,-0.249419,523.9662146584789
