RAdeg,DEdeg,2MASS,EPIC,D17-Prot,D17-P,Prot,P,dCMD,eCMD,RVel,e_RVel,epsi,gmag,b-r,Teff,Gaia,SFlag,bp_rp,bp_g,g_rp,distance,x,y,z,u,v,w
130.79483,19.526281,2MASS J08431077+1931347,211953567,8.89,K,8.89,K,0.097467,0.00178,-1.95,0.39,0,11.598,0.938,5470.68,661325908755275648,YYYYY,0.937914848,0.401473045,0.536441803,,,,,,,
130.773193,18.918331,2MASS J08430557+1855061,211912899,0.77,2,0.77,2,0.37503,0.07069,0,0,0.54,18.527,3.173,3150.65,661010069743524480,YYY-Y,3.172689438,1.816703796,1.355985641,,,,,,,
131.384064,18.964479,2MASS J08453218+1857521,211915935,18.22,2,18.22,2,0.131578,0.011448,0,0,0.19,16.694,2.724,3405.04,661048694385684224,YYY-Y,2.723896027,1.50399971,1.219896317,,,,,,,
132.646973,20.710442,2MASS J08503528+2042377,212027377,1.11,2,1.11,2,0.070003,0.039746,0,0,0.29,17.464,2.962,3279.95,661690736160492928,NYY-Y,2.962381363,1.670518875,1.291862488,,,,,,,
132.350189,20.235123,2MASS J08492405+2014065,211998837,0.67,2,0.67,2,-0.801251,0.031356,0,0,0.49,17.55,3.216,3270.86,661527600418921600,YNY-Y,3.21654892,1.883171082,1.333377838,,,,,,,
129.666443,17.905846,2MASS J08383996+1754210,211841807,2.01,2,2.01,2,0.307198,0.05343,0,0,0,17.923,3.026,3254.4,659331875699052544,YYY-Y,3.026016235,1.716384888,1.309631348,,,,,,,
131.016235,19.020206,2MASS J08440390+1901129,211919680,0.31,2,0.31,2,-0.173561,0.043256,0,0,5.08,18.372,3.271,3039.42,660970766499157504,-YY-Y,3.270555496,1.546348572,1.724206924,,,,,,,
129.001968,17.975937,2MASS J08360048+1758334,211846954,0.91,2,0.91,2,-0.201542,0.007058,0,0,0.17,15.537,2.424,3609.33,659532399131904768,YYY-Y,2.423987389,1.28604126,1.137946129,,,,,,,
130.811111,17.708393,2MASS J08431467+1742302,211827577,1.42,2,1.42,2,0.091225,0.020748,0,0,0.4,17.675,3.017,3226.39,658618155212680832,NYY-Y,3.016807556,1.722875595,1.293931961,,,,,,,
130.645233,20.994667,2MASS J08423486+2059408,0,17.33,P,17.33,P,-0.027427,0.004215,0,0,0.05,15.026,2.168,3700.18,664862453545857920,YY-YY,2.167919159,1.113052368,1.054866791,,,,,,,
130.736145,20.511711,2MASS J08425668+2030423,212015476,1.39,2,1.39,2,0.203975,0.032263,0,0,0.2,17.447,2.919,3283.98,661458915302263296,YYY-Y,2.919099808,1.634471893,1.284627914,,,,,,,
129.636963,17.393898,2MASS J08383288+1723380,211805435,0.68,2,0.68,2,0.726993,0.065666,0,0,0.55,17.949,2.913,3201.8,659254394489166848,YYY-Y,2.913150787,1.606752396,1.306398392,,,,,,,
132.497375,19.166943,2MASS J08495938+1910010,211929493,14.59,2,14.59,2,-0.318848,0.01371,0,0,0.31,16.876,2.905,3382.2,660317068180478336,YYY-Y,2.90549469,1.635665894,1.269828796,,,,,,,
129.04126,19.287941,2MASS J08360992+1917167,211937565,0.36,2,0.36,2,1.94317,0.149723,0,0,0.94,18.986,2.861,3074.11,662769911119972224,YNY-Y,2.861520767,1.447431564,1.414089203,,,,,,,
129.663086,17.496815,2MASS J08383915+1729486,211812724,0.61,2,0.61,2,0.160302,0.058757,0,0,0,18.136,3.129,3222.55,659257551288578304,YYY-Y,3.128900528,1.793706894,1.335193634,,,,,,,
129.225433,18.756863,2MASS J08365411+1845248,211902072,9.27,K,9.27,K,0.052349,0.00283,0.65,2.65,0,12.426,1.171,4889.74,659716601689157760,YYYNY,1.171485901,0.521988869,0.649497032,,,,,,,
129.066223,20.120256,2MASS J08361591+2007130,211991772,16.51,2,16.51,2,0.136687,0.003808,0,0,0.1,14.926,2.068,3752.23,664366024046570112,YYY-Y,2.067902565,1.048489571,1.019412994,,,,,,,
130.288574,17.571377,2MASS J08410926+1734170,211817992,2.18,2,2.18,2,0.357965,0.041367,0,0,0.62,17.998,3.033,3214.42,658602070559194496,YYY-Y,3.033121109,1.705051422,1.328069687,,,,,,,
131.538284,21.608027,2MASS J08460920+2136289,212078299,1.59,2,1.59,2,-0.176412,0.021312,0,0,0.43,17.258,2.974,3292.06,664991817960938112,NYY-Y,2.973861694,1.681976318,1.291885376,,,,,,,
128.308044,20.713427,2MASS J08331394+2042483,212027544,0.46,2,0.46,2,1.01678,0.062157,0,0,0.71,18.642,3.029,3126.35,664641413053011328,YNY-Y,3.028820038,1.652505875,1.376314163,,,,,,,
127.918533,19.798386,2MASS J08314045+1947542,211971354,9.36,P,9.36,P,-0.48277,0.004494,0,0,0.49,14.331,2.077,3757.48,663035065221481344,NNN-Y,2.07715416,1.052876472,1.024277687,,,,,,,
128.696411,18.021156,2MASS J08344714+1801162,0,11.62,K,11.62,K,0.107422,0.002729,-0.71,1.3,0,13.248,1.427,4417.91,659524152794716032,YY--Y,1.427448273,0.659405708,0.768042564,,,,,,,
130.519562,19.633543,2MASS J08420470+1938008,0,0.68,S,0.68,S,0.88982,0.126205,0,0,1.33,19.588,3.342,3036.5,661250145533531008,NN--Y,3.342496872,1.816101074,1.526395798,,,,,,,
129.335007,20.535534,2MASS J08372040+2032079,212016898,0.33,2,0.33,2,-0.347928,0.103779,0,0,2.73,18.389,3.358,3102.04,664414505637352832,NYY-Y,3.358123779,1.910682678,1.447441101,,,,,,,
128.987274,20.826317,2MASS J08355696+2049347,212034371,1.21,2,1.21,2,-0.229575,0.004686,-3.3,7.76,0,11.63,1.018,5256.02,664625302630788608,YYYNN,,,,,,,,,,
132.577255,19.428524,2MASS J08501855+1925427,211947006,8.61,K,8.61,K,0.215378,0.001421,-29.41,1.08,0,12.48,1.135,4969.7,660700561516668288,NYYNY,1.135538101,0.499586105,0.635951996,,,,,,,
130.000244,17.36834,2MASS J08400006+1722060,211803674,1.19,2,1.19,2,0.689292,0.054055,0,0,0.12,18.226,3.003,3187.95,658506344327926784,YNY-Y,3.00327301,1.644023895,1.359249115,,,,,,,
131.084625,18.049854,2MASS J08442031+1802595,0,10.89,K,10.89,K,0.035842,0.00136,-0.56,0.78,0,12.638,1.244,4738.6,660134446170679040,YY--Y,1.244275093,0.55973053,0.684544563,,,,,,,
130.63356,18.591131,2MASS J08423206+1835282,211890774,9.42,2,18.84,16,-0.027927,0.003828,0,0,0.06,15.13,2.203,3689.51,660928259206807808,YYY-Y,2.202479362,1.137975693,1.06450367,,,,,,,
130.298401,22.264332,2MASS J08411162+2215516,212112321,38.07,2,38.07,2,-0.181125,0.004531,0,0,0.2,15.633,2.45,3484.9,665240376308397440,NYY-Y,2.45031929,1.310230255,1.140089035,,,,,,,
131.357086,18.713348,2MASS J08452571+1842480,211899094,12.37,2,12.37,2,-0.012624,0.001749,-0.32,1.19,0.17,12.585,1.244,4739.59,660196774736045184,YYYYY,1.243824005,0.555970192,0.687853813,,,,,,,
130.826782,19.518845,2MASS J08431844+1931078,211953038,22.6,2,22.6,2,0.13207,0.008963,0,0,0.2,16.358,2.623,3451.86,661326011834490496,YYY-Y,2.622776031,1.436265945,1.186510086,,,,,,,
130.245422,19.237972,2MASS J08405891+1914167,211934172,0.25,2,0.25,2,-0.104434,0.079683,0,0,0.7,18.393,3.255,3144.06,661201389064841088,YYY-Y,3.254468918,1.820968628,1.43350029,,,,,,,
131.135788,21.68309,2MASS J08443259+2140592,212082288,3.98,P,3.98,P,-0.296957,0.010337,0,0,0.28,16.215,2.711,3478.61,664914164952043008,YYY-Y,2.711260796,1.496679306,1.21458149,,,,,,,
130.675308,19.292294,2MASS J08424208+1917323,211937872,12.68,P,12.68,P,-0.211984,0.002953,0,0,0.07,14.044,1.851,3932.35,661040070091376512,NYN-Y,1.851120949,0.909711838,0.941409111,,,,,,,
130.707001,18.859749,2MASS J08424969+1851351,211908928,13.5,P,13.5,P,-0.174223,0.005661,0,0,0.27,15.124,2.251,3689.05,660986297100929792,YYY-Y,2.250853539,1.165390968,1.08546257,,,,,,,
130.79216,19.476665,2MASS J08431013+1928361,211950298,0.51,2,0.51,2,-1.37566,0.007931,0,0,0.95,16.147,2.999,3290.7,661137789187131904,NNY-Y,,,,,,,,,,
130.911682,22.269291,2MASS J08433880+2216094,212112578,8.96,K,8.96,K,-0.12644,0.001887,-1.21,0.72,0,12.071,1.114,5019.58,665276415377154688,NYYYY,1.1137743,0.492005348,0.621768951,,,,,,,
129.723053,19.571362,2MASS J08385355+1934170,211956407,13.98,2,13.98,2,-0.012283,0.002,0,0,0,13.651,1.628,4151.98,661283199601699328,YYY-Y,1.627756119,0.777509689,0.850246429,,,,,,,
128.164337,19.956137,2MASS J08323947+1957223,211981509,27.84,2,27.84,2,0.550102,0.001628,-26.26,0.68,0,12.03,0.933,5483.02,663055371825360000,YNYNY,,,,,,,,,,
126.962311,19.805763,2MASS J08275096+1948207,211971819,17.08,2,17.08,2,-0.008036,0.005661,0,0,0.2,15.102,2.187,3685.47,663002663987903872,YYY-Y,2.187397003,1.129561424,1.057835579,,,,,,,
128.367523,18.726749,2MASS J08332821+1843363,211899994,1.63,2,1.63,2,0.596076,0.046439,0,0,0.55,18.051,2.98,3197.57,662634430672023680,YYY-Y,2.979703903,1.663856506,1.315847397,,,,,,,
129.010056,19.074022,2MASS J08360242+1904265,211923388,0.33,2,0.33,2,0.160169,0.036312,0,0,0.59,18.34,3.179,3167.88,659741233329151744,YYY-Y,3.179063797,1.858139038,1.320924759,,,,,,,
130.312103,17.460152,2MASS J08411491+1727366,211810140,1.42,2,1.42,2,0.23462,0.047972,0,0,0.22,18.012,3.073,3196.18,658587467670294784,YYY-Y,3.072771072,1.755699158,1.317071915,,,,,,,
129.372528,18.693203,2MASS J08372941+1841356,211897713,28.91,2,28.91,2,0.355199,0.016023,0,0,0.36,16.833,2.703,3353.05,659669597567160704,NYY-Y,2.70290184,1.493486404,1.209415436,,,,,,,
127.084145,19.258533,2MASS J08282020+1915307,211935588,25.7,2,25.7,2,0.359021,0.013793,0,0,0.47,17.21,2.804,3344.35,662899481693765632,NYY-Y,2.804284096,1.565279007,1.239005089,,,,,,,
130.894226,18.753832,2MASS J08433462+1845139,211901847,4.44,P,4.44,P,-0.032204,0.039375,0,0,0.4,17.334,2.954,3289.16,660957400560960256,YYY-Y,2.954345703,1.657325745,1.297019958,,,,,,,
130.752274,21.391148,2MASS J08430055+2123281,212066424,24.85,2,24.85,2,-0.580105,0.062072,0,0,0.29,18.491,3.455,2966.6,664926049125744640,NNY-Y,3.454927444,2.026277542,1.428649902,,,,,,,
128.246124,17.306526,2MASS J08325908+1718236,211799258,24.24,2,24.24,2,-0.661041,0.008507,0,0,0.34,15.905,2.725,3524.25,659086512807199232,YNY-Y,2.72501564,1.521953583,1.203062057,,,,,,,
131.260986,20.512161,2MASS J08450265+2030439,212015504,24.64,2,24.64,2,-0.743228,0.002865,0,0,0.09,14.395,2.196,3650.28,661773375627598208,NNY-Y,2.19647789,1.135919571,1.060558319,,,,,,,
131.265991,21.471703,2MASS J08450384+2128182,212070886,0.58,2,0.58,2,0.691631,0.05315,0,0,0.68,18.367,3.043,3197.84,664895988650515968,YYY-Y,3.043203354,1.70501709,1.338186264,,,,,,,
129.904312,17.788849,2MASS J08393704+1747199,211833336,16.89,2,16.89,2,0.033213,0.003444,0,0,0.04,14.753,2.041,3793.73,659373141744409984,NYY-Y,2.041261673,1.03271389,1.008547783,,,,,,,
130.280182,19.446922,2MASS J08410725+1926489,211948267,9.59,K,9.59,K,-0.011346,0.001789,-0.25,0.79,0,12.18,1.112,5023.77,661239390935360512,YYYYY,1.112010956,0.488227844,0.623783112,,,,,,,
127.793518,21.58955,2MASS J08311045+2135224,212077235,16.16,2,16.16,2,0.468406,0.002953,0,0,0,13.641,1.442,4395.92,665530406860150912,NNY-Y,1.441896439,0.66696167,0.774934769,,,,,,,
129.830704,18.639572,2MASS J08391937+1838224,211894087,1.16,2,1.16,2,0.207447,0.111983,0,0,1.09,19.071,3.397,3044.44,659674197475355392,YYY-Y,3.396930695,1.965110779,1.431819916,,,,,,,
128.24826,20.120792,2MASS J08325959+2007149,211991806,0.36,2,0.36,2,0.594556,0.045558,0,0,0.43,18.007,2.968,3214.16,663070971148025728,YYY-Y,2.967630386,1.650163651,1.317466736,,,,,,,
130.591797,18.768282,2MASS J08422204+1846059,211902826,2.63,2,2.63,2,0.389845,0.050706,0,0,0.4,18.18,3.076,3155.12,660983750184396672,YYY-Y,3.07636261,1.747936249,1.328426361,,,,,,,
128.241974,22.205641,2MASS J08325808+2212204,212109351,10.51,2,10.51,2,0.558068,0.020323,0,0,0.34,16.496,2.494,3511.91,665650425426585344,YYY-Y,2.494534492,1.324773788,1.169760704,,,,,,,
127.886719,21.024429,2MASS J08313282+2101280,0,9.64,P,9.64,P,0.034941,0.00494,0,0,0,13.946,1.729,4044.34,665426846608828928,YY--Y,1.72913456,0.835659981,0.893474579,,,,,,,
129.246063,17.701761,2MASS J08365907+1742063,211827123,0.43,2,0.43,2,0.078018,0.103252,0,0,1.02,18.842,3.368,3045.39,659324694513778688,YYY-Y,3.367471695,1.977664948,1.389806747,,,,,,,
126.572693,19.726589,2MASS J08261745+1943358,211966707,9.25,2,9.25,2,0.047978,0.01608,0,0,0.34,16.811,2.778,3400.37,663726280078225152,NYY-Y,2.778111458,1.553012848,1.22509861,,,,,,,
131.639801,18.236,2MASS J08463356+1814096,0,11.58,K,11.58,K,-0.085502,0.001581,-1.21,1.1,0,12.851,1.341,4559.38,660118473188717824,YY--Y,1.340772629,0.6127882,0.727984428,,,,,,,
128.31424,20.702492,2MASS J08331542+2042090,212026921,12.07,2,12.07,2,0.043115,0.001803,0.51,1.22,0,12.459,1.186,4858.94,664641348629985280,YYYYY,1.18575573,0.52696991,0.65878582,,,,,,,
